tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2004-807,Acapulco,Clay,32,A,20040301,31,102845,1,,Carlos Moya,R,190,ESP,27.5,104269,,,Fernando Verdasco,L,188,ESP,20.2,6-3 6-0,3,F,64,3,1,48,28,24,11,8,2,2,1,1,48,32,19,5,7,4,8,7,2290,103,372
2023-0807,Acapulco,Hard,32,A,20230227,300,200282,8,,Alex De Minaur,R,183,AUS,24,126205,7,,Tommy Paul,R,185,USA,25.7,3-6 6-4 6-1,3,F,147,2,1,84,42,34,22,13,6,8,1,4,91,55,33,19,13,6,10,22,1710,23,1700
2001-807,Acapulco,Clay,32,A,20010226,31,102856,1,,Gustavo Kuerten,R,190,BRA,24.4,102869,,WC,Galo Blanco,R,173,ESP,24.3,6-4 6-2,3,F,82,11,5,71,44,34,12,9,5,5,8,0,55,38,24,9,9,1,4,1,4365,116,337
2022-0807,Acapulco,Hard,32,A,20220221,300,104745,4,,Rafael Nadal,L,185,ESP,35.7,111815,6,,Cameron Norrie,L,188,GBR,26.4,6-4 6-4,3,F,114,3,0,57,45,32,5,10,3,5,4,2,59,40,24,9,10,1,5,5,6515,12,3070
2002-807,Acapulco,Clay,32,A,20020225,31,102845,5,,Carlos Moya,R,190,ESP,25.4,101897,,,Fernando Meligeni,L,180,BRA,30.8,7-6(4) 7-6(4),3,F,115,7,2,74,48,36,18,12,0,1,10,0,93,59,44,17,12,6,7,32,1095,71,539
2021-0807,Acapulco,Hard,32,A,20210315,300,100644,2,,Alexander Zverev,R,198,GER,23.9,126774,1,,Stefanos Tsitsipas,R,193,GRE,22.5,6-4 7-6(3),3,F,137,4,8,81,49,38,12,11,6,8,3,4,82,53,33,13,11,9,12,7,5635,5,6765
2003-807,Acapulco,Clay,32,A,20030224,31,102860,,,Agustin Calleri,R,183,ARG,26.4,103151,,,Mariano Zabaleta,R,183,ARG,24.9,7-5 3-6 6-3,3,F,155,5,3,105,60,43,22,15,10,13,3,1,90,49,35,20,15,0,4,61,630,44,761
2020-M004,Acapulco,Hard,32,A,20200224,300,104745,1,,Rafael Nadal,L,185,ESP,33.7,126203,,,Taylor Fritz,R,193,USA,22.3,6-3 6-2,3,F,74,1,2,46,29,24,13,9,1,1,10,0,47,30,21,6,8,4,7,2,9395,35,1255
2005-807,Acapulco,Clay,32,A,20050221,31,104745,8,,Rafael Nadal,L,185,ESP,18.7,103656,,,Albert Montanes,R,175,ESP,24.2,6-1 6-0,3,F,52,5,2,36,28,24,4,7,0,0,0,1,36,25,12,2,6,4,9,39,925,95,436
2019-M004,Acapulco,Hard,32,A,20190225,300,106401,,,Nick Kyrgios,R,193,AUS,23.8,100644,2,,Alexander Zverev,R,198,GER,21.8,6-3 6-4,3,F,90,13,5,71,44,34,10,10,7,8,7,1,49,36,26,5,9,2,5,72,750,3,6475
2006-807,Acapulco,Clay,32,A,20060227,31,103632,,,Luis Horna,R,180,PER,25.4,103428,7,,Juan Ignacio Chela,R,190,ARG,26.4,7-6(5) 6-4,3,F,122,7,1,82,51,33,19,11,4,6,6,2,70,49,36,9,11,4,7,68,562,45,795
2007-807,Acapulco,Clay,32,A,20070226,31,103428,4,,Juan Ignacio Chela,R,190,ARG,27.4,102845,8,,Carlos Moya,R,190,ESP,30.4,6-3 7-6(2),3,F,106,2,3,80,54,40,15,11,3,3,2,4,68,43,30,13,10,4,5,35,880,47,735
2024-0807,Acapulco,Hard,32,A,20240226,300,200282,3,,Alex De Minaur,R,183,AUS,25,134770,6,,Casper Ruud,R,183,NOR,25.1,6-4 6-4,3,F,117,3,3,57,30,20,20,10,3,4,1,0,81,56,30,15,10,1,4,9,3210,11,3120
2013-807,Acapulco,Clay,32,A,20130225,31,104745,2,,Rafael Nadal,L,185,ESP,26.7,103970,1,,David Ferrer,R,175,ESP,30.9,6-0 6-2,3,F,65,0,1,43,27,22,9,7,2,2,1,2,45,27,15,4,7,3,8,5,5755,4,6865
2011-807,Acapulco,Clay,32,A,20110221,31,103970,1,,David Ferrer,R,175,ESP,28.8,104597,3,,Nicolas Almagro,R,183,ESP,25.5,7-6(4) 6-7(2) 6-2,3,F,162,6,2,113,64,45,25,16,9,13,4,4,105,53,36,22,16,1,7,6,4510,13,2320
2016-M004,Acapulco,Hard,32,A,20160222,300,106233,4,,Dominic Thiem,R,185,AUT,22.4,106071,5,,Bernard Tomic,R,193,AUS,23.3,7-6(6) 4-6 6-3,3,F,115,22,1,86,67,55,8,16,0,3,8,4,101,65,47,16,15,5,8,15,2020,21,1675
2012-807,Acapulco,Clay,32,A,20120227,31,103970,1,,David Ferrer,R,175,ESP,29.9,104269,8,,Fernando Verdasco,L,188,ESP,28.2,6-1 6-2,3,F,70,2,1,39,25,22,10,8,0,0,1,4,50,38,19,4,7,6,10,6,4345,27,1320
2009-807,Acapulco,Clay,32,A,20090223,31,104597,4,,Nicolas Almagro,R,183,ESP,23.5,104792,2,,Gael Monfils,R,193,FRA,22.4,6-4 6-4,3,F,77,5,2,51,29,23,15,10,0,1,7,2,59,35,27,9,10,5,8,21,2280,10,3340
2010-807,Acapulco,Clay,32,A,20100222,31,103970,3,,David Ferrer,R,175,ESP,27.8,103507,4,,Juan Carlos Ferrero,R,183,ESP,30,6-3 3-6 6-1,3,F,107,2,1,65,47,39,11,13,1,2,0,1,68,46,27,14,12,0,3,17,1885,16,1965
2015-807,Acapulco,Hard,32,A,20150223,31,103970,2,,David Ferrer,R,175,ESP,32.8,105453,1,,Kei Nishikori,R,178,JPN,25.1,6-3 7-5,3,F,109,0,4,74,44,25,16,11,5,9,1,2,65,35,18,12,10,4,10,9,4185,5,5205
2017-M004,Acapulco,Hard,32,A,20170227,300,105023,,,Sam Querrey,R,198,USA,29.3,104745,2,,Rafael Nadal,L,185,ESP,30.7,6-3 7-6(3),3,F,94,19,2,75,48,39,17,11,6,6,1,2,61,42,30,12,10,1,2,40,1000,6,4115
2014-807,Acapulco,Hard,32,A,20140224,31,105777,4,,Grigor Dimitrov,R,188,BUL,22.7,104731,5,,Kevin Anderson,R,203,RSA,27.7,7-6(1) 3-6 7-6(5),3,F,178,7,1,105,72,50,23,16,3,5,13,7,119,82,59,19,17,2,3,22,1675,21,1685
2018-M004,Acapulco,Hard,32,A,20180226,300,105223,6,,Juan Martin del Potro,R,198,ARG,29.4,104731,5,,Kevin Anderson,R,203,RSA,31.7,6-4 6-4,3,F,100,12,4,58,36,28,14,10,0,0,11,0,60,34,27,11,10,1,3,9,2745,8,2825
2008-807,Acapulco,Clay,32,A,20080225,31,104597,6,,Nicolas Almagro,R,183,ESP,22.5,103900,1,,David Nalbandian,R,180,ARG,26.1,6-1 7-6(1),3,F,85,11,1,63,37,31,16,10,2,2,3,3,65,33,19,18,9,4,6,28,1065,8,1875
2001-339,Adelaide,Hard,32,A,20010101,31,103163,5,,Tommy Haas,R,188,GER,22.7,103454,,,Nicolas Massu,R,183,CHI,21.2,6-3 6-1,3,F,83,10,4,48,25,21,14,8,0,0,1,6,62,23,13,19,8,8,12,23,1145,87,496
2002-339,Adelaide,Hard,32,A,20011231,31,102450,1,,Tim Henman,R,185,GBR,27.3,102882,,WC,Mark Philippoussis,R,196,AUS,25.1,6-4 6-7(6) 6-3,3,F,143,4,0,100,74,48,17,15,4,6,11,8,109,61,47,22,16,8,13,9,2100,104,400
2000-339,Adelaide,Hard,32,A,20000103,31,103720,6,,Lleyton Hewitt,R,180,AUS,18.8,102358,1,,Thomas Enqvist,R,190,SWE,25.7,3-6 6-3 6-2,3,F,96,7,4,72,30,26,26,13,3,4,8,1,79,44,35,16,13,3,6,25,1429,4,2606
2024-8998,Adelaide,Hard,32,A,20240108,300,208103,7,,Jiri Lehecka,R,185,CZE,22.1,207733,,,Jack Draper,L,193,GBR,22,4-6 6-4 6-3,3,F,128,8,1,92,60,45,18,15,8,9,7,2,80,48,35,19,14,3,5,32,1337,62,836
2004-339,Adelaide,Hard,32,A,20040105,31,103103,,,Dominik Hrbaty,R,183,SVK,26,103566,,Q,Michael Llodra,L,190,FRA,23.6,6-4 6-0,3,F,57,3,2,52,35,24,11,8,8,9,2,2,59,38,19,8,8,9,14,61,584,173,214
2008-339,Adelaide,Hard,32,A,20071231,31,103566,,,Michael Llodra,L,190,FRA,27.6,103813,3,,Jarkko Nieminen,L,185,FIN,26.4,6-3 6-4,3,F,77,6,1,53,34,30,12,10,1,1,3,2,79,53,34,12,9,12,14,93,460,27,995
2003-339,Adelaide,Hard,32,A,20021230,31,103786,,,Nikolay Davydenko,R,178,RUS,21.5,104019,,Q,Kristof Vliegen,R,193,BEL,20.5,6-2 7-6(3),3,F,76,0,1,70,53,34,13,10,2,3,5,2,60,41,30,7,10,1,4,81,487,164,222
1998-339,Adelaide,Hard,32,A,19980105,31,103720,,WC,Lleyton Hewitt,R,180,AUS,16.8,101727,,,Jason Stoltenberg,R,185,AUS,27.7,3-6 6-3 7-6(4),3,F,129,4,3,104,64,42,20,15,7,11,13,5,111,66,48,19,15,6,10,550,43,79,617
2020-M056,Adelaide,Hard,32,A,20200113,300,126094,3,,Andrey Rublev,R,188,RUS,22.2,144750,,Q,Lloyd Harris,R,193,RSA,22.8,6-3 6-0,3,F,56,4,1,49,27,22,13,8,4,4,8,1,43,28,14,6,7,1,5,18,1799,91,594
2007-339,Adelaide,Hard,32,A,20070101,534,104925,1,,Novak Djokovic,R,188,SRB,19.6,104589,,WC,Chris Guccione,L,201,AUS,21.4,6-3 6-7(6) 6-4,3,F,147,4,6,118,71,50,26,15,5,6,14,5,106,63,48,17,16,6,10,16,1380,153,287
2005-339,Adelaide,Hard,32,A,20050103,31,104026,2,,Joachim Johansson,R,198,SWE,22.5,103758,5,,Taylor Dent,R,188,USA,23.6,7-5 6-3,3,F,80,5,4,53,28,26,15,10,0,0,10,11,83,40,31,18,11,6,9,11,1595,32,955
2006-339,Adelaide,Hard,32,A,20060102,31,103722,,,Florent Serra,R,180,FRA,24.8,103598,,,Xavier Malisse,R,185,BEL,25.4,6-3 6-4,3,F,71,7,0,63,41,30,14,10,6,6,12,1,64,41,26,11,9,3,5,49,712,47,731
1999-339,Adelaide,Hard,32,A,19990104,31,102358,2,,Thomas Enqvist,R,190,SWE,24.8,103720,,WC,Lleyton Hewitt,R,180,AUS,17.8,4-6 6-1 6-2,3,F,90,16,4,66,44,36,13,13,2,3,7,5,90,55,37,13,12,4,8,22,1500,100,482
2022-8998,Adelaide 1,Hard,32,A,20220103,300,104792,1,,Gael Monfils,R,193,FRA,35.3,111575,2,,Karen Khachanov,R,198,RUS,25.6,6-4 6-4,3,F,79,6,0,51,37,30,11,10,2,2,4,1,62,36,27,12,10,3,5,21,2158,29,1731
2023-2843,Adelaide 1,Hard,32,A,20230102,300,104925,1,,Novak Djokovic,R,188,SRB,35.6,200624,,,Sebastian Korda,R,196,USA,22.4,6-7(8) 7-6(3) 6-4,3,F,189,7,4,99,62,53,25,17,1,2,15,4,129,76,59,27,17,5,7,5,4820,33,1175
2023-8998,Adelaide 2,Hard,32,A,20230109,300,126952,,LL,Soon Woo Kwon,R,180,KOR,25.1,105138,4,,Roberto Bautista Agut,R,183,ESP,34.7,6-4 3-6 7-6(4),3,F,162,11,2,98,53,42,23,15,4,7,5,2,101,60,45,18,16,4,7,84,626,26,1545
2022-9667,Adelaide 2,Hard,32,A,20220110,300,106423,,WC,Thanasi Kokkinakis,R,196,AUS,25.7,126239,,,Arthur Rinderknech,R,196,FRA,26.4,6-7(6) 7-6(5) 6-3,3,F,158,18,0,92,71,64,11,16,0,0,15,0,104,68,55,19,17,1,3,145,480,58,1057
2024-9410,Almaty,Hard,28,A,20241014,385,111575,3,,Karen Khachanov,R,198,RUS,28.3,209113,,,Gabriel Diallo,R,203,CAN,23,6-2 5-7 6-3,3,F,142,6,1,81,58,40,13,14,3,6,7,0,111,78,51,11,15,13,19,26,1745,118,497
2008-317,Amersfoort,Clay,28,A,20080714,27,103656,5,,Albert Montanes,R,175,ESP,27.6,104327,3,,Steve Darcis,R,178,BEL,24.3,1-6 7-5 6-3,3,F,107,3,4,80,53,40,13,14,1,4,9,5,81,52,36,14,14,2,5,63,631,56,735
2007-317,Amersfoort,Clay,32,A,20070716,31,104327,,Q,Steve Darcis,R,178,BEL,23.3,102381,,,Werner Eschauer,R,188,AUT,33.2,6-1 7-6(1),3,F,91,4,1,76,46,37,15,10,7,7,5,1,59,33,23,13,9,4,6,297,121,66,569
2004-317,Amersfoort,Clay,32,A,20040712,31,103280,4,,Martin Verkerk,R,196,NED,25.6,103602,2,,Fernando Gonzalez,R,183,CHI,23.9,7-6(5) 4-6 6-4,3,F,138,12,2,109,72,57,22,16,7,8,6,4,107,73,58,17,16,5,6,53,700,21,1205
2006-317,Amersfoort,Clay,32,A,20060717,31,104925,3,,Novak Djokovic,R,188,SRB,19.1,103454,4,,Nicolas Massu,R,183,CHI,26.7,7-6(5) 6-4,3,F,162,9,3,68,36,27,16,11,2,4,11,4,89,40,27,25,11,7,10,36,901,37,890
2003-317,Amersfoort,Clay,32,A,20030714,31,103454,7,,Nicolas Massu,R,183,CHI,23.7,103171,6,,Raemon Sluiter,R,185,NED,25.2,6-4 7-6(3) 6-2,5,F,145,7,3,92,60,43,20,15,2,3,10,1,104,57,40,22,15,4,8,73,574,72,580
2005-317,Amersfoort,Clay,32,A,20050718,31,103602,2,,Fernando Gonzalez,R,183,CHI,24.9,102860,,,Agustin Calleri,R,183,ARG,28.8,7-5 6-3,3,F,83,6,2,56,38,36,7,11,2,3,2,6,76,41,26,16,10,4,7,21,1295,94,437
2002-317,Amersfoort,Clay,32,A,20020715,31,103428,2,,Juan Ignacio Chela,R,190,ARG,22.8,102610,1,,Albert Costa,R,180,ESP,27,6-1 7-6(4),3,F,94,1,2,59,35,25,18,10,1,2,2,0,67,49,27,11,9,3,6,28,1202,7,2290
2001-317,Amsterdam,Clay,32,A,20010716,31,102374,2,,Alex Corretja,R,180,ESP,27.2,101962,,,Younes El Aynaoui,R,193,MAR,29.8,6-3 5-7 7-6(0) 3-6 6-4,5,F,220,7,1,169,102,74,37,27,9,14,14,5,142,88,70,25,25,5,9,9,2165,74,578
1998-317,Amsterdam,Clay,32,A,19980803,31,102796,,,Magnus Norman,R,188,SWE,22.1,101735,6,,Richard Fromberg,R,196,AUS,28.2,6-3 6-3 2-6 6-4,5,F,143,6,1,103,56,36,31,18,4,8,8,3,108,68,48,16,18,4,10,42,902,37,1057
2000-317,Amsterdam,Clay,32,A,20000717,31,101320,4,,Magnus Gustafsson,R,185,SWE,33.5,103171,,,Raemon Sluiter,R,185,NED,22.2,6-7(4) 6-3 7-6(5) 6-1,5,F,155,6,4,118,82,71,19,21,0,0,4,2,121,70,46,33,19,3,6,63,674,142,269
1999-317,Amsterdam,Clay,32,A,19990802,31,101962,6,,Younes El Aynaoui,R,193,MAR,27.8,103151,3,,Mariano Zabaleta,R,183,ARG,21.4,6-0 6-3,3,F,60,5,2,40,20,18,14,8,0,0,3,3,51,27,17,9,7,2,6,33,1142,27,1286
2021-9426,Antalya,Hard,32,A,20210105,300,200282,4,,Alex De Minaur,R,183,AUS,21.8,122330,8,,Alexander Bublik,R,196,KAZ,23.5,2-0 RET,3,F,7,1,0,8,7,6,0,1,0,0,0,1,6,2,0,2,1,0,1,23,1860,49,1090
2018-7650,Antalya,Grass,32,A,20180625,300,106000,2,,Damir Dzumhur,R,172,BIH,26,105173,1,,Adrian Mannarino,L,183,FRA,29.9,6-1 1-6 6-1,3,F,85,8,2,63,36,26,14,11,0,2,1,0,61,41,26,7,10,5,9,30,1460,24,1580
2017-7650,Antalya,Grass,32,A,20170626,300,105216,,,Yuichi Sugita,R,173,JPN,28.7,105173,,,Adrian Mannarino,L,183,FRA,28.9,6-1 7-6(4),3,F,89,5,3,66,44,33,8,10,3,5,2,3,61,36,24,9,9,4,8,66,725,62,766
2019-7650,Antalya,Grass,32,A,20190624,300,132283,,,Lorenzo Sonego,R,191,ITA,24.1,200175,,,Miomir Kecmanovic,R,183,SRB,19.8,6-7(5) 7-6(5) 6-1,3,F,166,25,1,94,71,60,15,16,1,1,5,8,114,64,49,23,15,7,9,75,732,82,675
2019-7485,Antwerp,Hard,32,A,20191014,300,104918,,PR,Andy Murray,R,190,GBR,32.4,104527,4,,Stan Wawrinka,R,183,SUI,34.5,3-6 6-4 6-4,3,F,147,9,3,86,48,35,16,14,8,12,12,1,93,56,38,18,15,5,10,243,192,18,1670
2020-7485,Antwerp,Hard,32,A,20201019,101,200005,,,Ugo Humbert,L,188,FRA,22.3,200282,8,,Alex De Minaur,R,183,AUS,21.6,6-1 7-6(4),3,F,97,4,3,67,42,31,17,10,2,2,0,2,70,48,34,9,9,6,8,38,1306,29,1665
2017-7485,Antwerp,Hard,32,A,20171016,300,104542,2,,Jo-Wilfried Tsonga,R,188,FRA,32.4,106043,4,,Diego Schwartzman,R,170,ARG,25.1,6-3 7-5,3,F,92,8,2,69,37,27,17,11,4,6,1,2,57,35,21,11,10,4,8,17,2285,26,1720
2021-7485,Antwerp,Hard,32,A,20211018,300,206173,1,,Jannik Sinner,R,188,ITA,20.1,106043,2,,Diego Schwartzman,R,170,ARG,29.1,6-2 6-2,3,F,76,8,2,44,23,21,13,8,2,2,0,1,49,27,13,10,8,3,7,16,2895,13,2970
1998-430,Antwerp,Hard,32,A,19980216,31,102257,5,,Greg Rusedski,L,193,GBR,24.4,101820,,,Marc Rosset,R,201,SUI,27.2,7-6(3) 3-6 6-1 6-4,5,F,146,23,2,111,58,51,33,19,7,8,8,12,134,70,56,30,19,13,16,9,2493,26,1370
2022-7485,Antwerp,Hard,32,A,20221017,300,200000,2,,Felix Auger Aliassime,R,193,CAN,22.1,200624,,,Sebastian Korda,R,196,USA,22.2,6-3 6-4,3,F,85,7,1,51,40,34,7,10,2,2,1,2,57,39,25,11,9,2,4,10,3155,36,1125
2024-7485,Antwerp,Hard,28,A,20241014,385,105138,,,Roberto Bautista Agut,R,183,ESP,36.5,208103,5,,Jiri Lehecka,R,185,CZE,22.9,7-5 6-1,3,F,75,1,1,50,38,30,9,10,1,2,12,2,57,41,25,5,9,2,6,60,906,33,1440
2023-7485,Antwerp,Hard,32,A,20231016,300,122330,3,,Alexander Bublik,R,196,KAZ,26.3,209950,4,,Arthur Fils,R,185,FRA,19.3,6-4 6-4,3,F,75,11,11,63,37,36,9,10,3,3,6,2,56,37,24,11,10,1,3,36,1129,38,1061
2018-7485,Antwerp,Hard,32,A,20181015,300,106378,1,,Kyle Edmund,R,188,GBR,23.7,104792,6,,Gael Monfils,R,193,FRA,32.1,3-6 7-6(2) 7-6(4),3,F,146,4,0,105,61,47,27,16,4,6,17,5,105,73,55,21,17,6,7,15,2125,38,1160
2016-7485,Antwerp,Hard,32,A,20161017,300,104755,3,,Richard Gasquet,R,185,FRA,30.3,106043,,,Diego Schwartzman,R,170,ARG,24.1,7-6(4) 6-1,3,F,89,1,3,62,33,29,16,10,1,2,3,2,60,40,27,8,9,3,6,19,1950,77,712
2022-9410,Astana,Hard,32,A,20221003,300,104925,4,,Novak Djokovic,R,188,SRB,35.3,126774,3,,Stefanos Tsitsipas,R,193,GRE,24.1,6-3 6-4,3,F,75,1,0,48,38,33,8,10,0,0,1,2,49,30,24,8,9,3,5,7,3820,6,4810
2023-9410,Astana,Hard,32,A,20230925,300,105173,6,,Adrian Mannarino,L,180,FRA,35.2,200624,5,,Sebastian Korda,R,196,USA,23.2,4-6 6-3 6-2,3,F,129,5,7,89,48,34,23,14,2,4,9,2,77,48,30,15,13,4,8,34,1286,28,1340
2000-409,Atlanta,Clay,32,A,20000410,31,102776,8,,Andrew Ilie,R,180,AUS,23.9,101727,,,Jason Stoltenberg,R,185,AUS,30,6-3 7-5,3,F,92,2,2,78,39,28,20,11,5,7,4,2,71,36,19,18,10,7,11,79,535,92,437
2019-6116,Atlanta,Hard,32,A,20190722,300,200282,3,,Alex De Minaur,R,183,AUS,20.4,126203,2,,Taylor Fritz,R,193,USA,21.7,6-3 7-6(2),3,F,77,8,5,54,31,29,15,10,0,0,9,2,63,38,33,8,11,2,4,34,1285,32,1320
2011-6116,Atlanta,Hard,28,A,20110718,27,103888,1,,Mardy Fish,R,188,USA,29.6,104545,3,,John Isner,R,206,USA,26.2,3-6 7-6(6) 6-2,3,F,136,13,1,74,45,39,19,14,3,5,15,6,94,65,46,13,15,3,6,9,2435,35,1195
2015-6116,Atlanta,Hard,28,A,20150727,27,104545,1,,John Isner,R,206,USA,30.2,104571,5,,Marcos Baghdatis,R,183,CYP,30.1,6-3 6-3,3,F,,13,0,39,28,27,9,9,0,0,1,2,54,28,19,12,9,1,4,19,1685,47,925
2016-6116,Atlanta,Hard,32,A,20160801,300,106401,2,,Nick Kyrgios,R,193,AUS,21.2,104545,1,,John Isner,R,206,USA,31.2,7-6(3) 7-6(4),3,F,106,18,5,79,49,40,20,12,4,4,18,6,82,46,42,14,12,2,2,18,1865,17,1895
2014-6116,Atlanta,Hard,28,A,20140721,27,104545,1,,John Isner,R,206,USA,29.2,104534,,,Dudi Sela,R,175,ISR,29.2,6-3 6-4,3,F,71,15,2,58,33,28,14,10,1,1,2,4,51,33,26,7,9,0,2,12,2690,94,588
2017-6116,Atlanta,Hard,32,A,20170724,300,104545,2,,John Isner,R,206,USA,32.2,105992,4,,Ryan Harrison,R,183,USA,25.2,7-6(6) 7-6(7),3,F,107,23,1,78,54,46,14,12,0,1,10,4,80,46,37,20,12,1,2,20,2045,42,983
2018-6116,Atlanta,Hard,32,A,20180723,300,104545,1,,John Isner,R,206,USA,33.2,105992,8,,Ryan Harrison,R,183,USA,26.2,5-7 6-3 6-4,3,F,119,21,3,103,65,49,22,16,4,5,10,3,85,53,40,20,15,2,4,9,3490,53,920
2023-6116,Atlanta,Hard,32,A,20230724,300,126203,1,,Taylor Fritz,R,196,USA,25.7,126846,,,Aleksandar Vukic,R,188,AUS,27.2,7-5 6-7(5) 6-4,3,F,136,16,2,91,56,47,26,17,0,0,14,3,109,64,52,21,17,7,9,9,3310,82,716
2024-6116,Atlanta,Hard,32,A,20240722,300,106415,,,Yoshihito Nishioka,L,170,JPN,28.8,111442,4,,Jordan Thompson,R,183,AUS,30.2,4-6 7-6(2) 6-2,3,F,160,1,1,110,74,54,21,15,10,11,16,0,86,61,47,12,15,4,6,86,699,41,1191
2012-6116,Atlanta,Hard,28,A,20120716,27,104053,4,,Andy Roddick,R,188,USA,29.8,104180,,,Gilles Muller,L,193,LUX,29.1,1-6 7-6(2) 6-2,3,F,134,18,4,86,52,39,19,13,1,3,20,10,84,48,42,15,14,4,6,27,1395,63,746
1999-409,Atlanta,Clay,32,A,19990426,31,102905,,Q,Stefan Koubek,L,175,AUT,22.3,103206,5,,Sebastien Grosjean,R,175,FRA,20.9,6-1 6-2,3,F,56,2,2,48,30,23,12,8,1,1,0,1,44,25,14,7,7,2,6,97,516,40,983
2010-6116,Atlanta,Hard,28,A,20100719,27,103888,6,,Mardy Fish,R,188,USA,28.6,104545,2,,John Isner,R,206,USA,25.2,4-6 6-4 7-6(4),3,F,165,9,3,95,50,39,27,16,6,8,14,5,104,59,43,24,16,3,5,49,901,19,1925
1998-409,Atlanta,Clay,32,A,19980427,31,101948,1,,Pete Sampras,R,185,USA,26.7,101727,2,,Jason Stoltenberg,R,185,AUS,28,6-7(2) 6-3 7-6(4),3,F,160,7,5,116,71,55,25,17,6,7,15,13,153,82,58,36,16,14,16,1,3632,42,950
2001-409,Atlanta,Clay,32,A,20010423,31,104053,,WC,Andy Roddick,R,188,USA,18.6,103598,,,Xavier Malisse,R,185,BEL,20.7,6-2 6-4,3,F,69,7,2,60,37,28,13,9,1,1,5,2,51,31,20,10,9,3,6,89,458,78,503
2021-6116,Atlanta,Hard,32,A,20210726,300,104545,6,,John Isner,R,206,USA,36.2,206909,,SE,Brandon Nakashima,R,185,USA,19.9,7-6(8) 7-5,3,F,116,21,1,77,58,47,11,12,3,3,12,3,83,47,38,21,12,4,5,35,1718,115,718
2022-6116,Atlanta,Hard,32,A,20220725,300,200282,3,,Alex De Minaur,R,183,AUS,23.4,202385,6,,Jenson Brooksby,R,188,USA,21.7,6-3 6-3,3,F,91,4,0,58,37,26,12,9,4,5,2,1,54,38,27,3,9,0,4,30,1345,43,1037
2013-6116,Atlanta,Hard,28,A,20130722,27,104545,1,,John Isner,R,206,USA,28.2,104731,2,,Kevin Anderson,R,203,RSA,27.1,6-7(3) 7-6(2) 7-6(2),3,F,174,24,0,136,90,73,24,18,11,11,21,6,112,71,60,24,18,1,1,22,1610,21,1635
2002-301,Auckland,Hard,32,A,20020107,31,102257,6,,Greg Rusedski,L,193,GBR,28.3,102259,,,Jerome Golmard,L,188,FRA,28.3,6-7(0) 6-4 7-5,3,F,127,12,4,102,57,45,26,17,2,3,4,1,105,77,55,15,17,1,4,30,1075,49,722
2017-0301,Auckland,Hard,32,A,20170109,300,106058,4,,Jack Sock,R,185,USA,24.2,105311,,,Joao Sousa,R,185,POR,27.7,6-3 5-7 6-3,3,F,116,13,3,78,54,43,11,15,1,4,10,3,95,60,40,14,15,4,9,23,1710,44,1030
2004-301,Auckland,Hard,32,A,20040112,31,103103,,,Dominik Hrbaty,R,183,SVK,26,104745,,,Rafael Nadal,L,185,ESP,17.6,4-6 6-2 7-5,3,F,135,2,4,106,73,46,18,15,8,11,0,4,106,62,36,22,15,11,16,54,639,48,766
2006-301,Auckland,Hard,32,A,20060109,31,103813,7,,Jarkko Nieminen,L,185,FIN,24.4,104339,5,,Mario Ancic,R,196,CRO,21.7,6-2 6-2,3,F,61,0,0,54,37,26,11,8,3,3,1,0,45,28,17,5,8,1,5,29,1070,21,1360
1999-301,Auckland,Hard,32,A,19990111,31,102854,,,Sjeng Schalken,R,193,NED,22.3,103163,5,,Tommy Haas,R,188,GER,20.7,6-4 6-4,3,F,78,3,1,52,32,20,11,10,0,3,2,1,66,45,28,7,10,3,8,74,660,35,1044
2001-301,Auckland,Hard,32,A,20010108,31,103103,2,,Dominik Hrbaty,R,183,SVK,23,101532,,,Francisco Clavet,L,183,ESP,32.2,6-4 2-6 6-3,3,F,120,4,10,93,53,40,15,14,6,10,3,1,96,63,32,19,13,7,13,17,1395,47,795
2008-301,Auckland,Hard,32,A,20080107,31,104259,7,,Philipp Kohlschreiber,R,178,GER,24.2,103507,4,,Juan Carlos Ferrero,R,183,ESP,27.9,7-6(4) 7-5,3,F,114,7,7,89,54,39,19,12,4,5,5,1,76,59,43,9,12,3,5,31,940,24,1340
2012-301,Auckland,Hard,28,A,20120109,27,103970,1,,David Ferrer,R,175,ESP,29.7,103694,,,Olivier Rochus,R,168,BEL,30.9,6-3 6-4,3,F,96,9,1,70,32,26,19,10,3,4,0,1,55,33,17,15,9,1,4,5,4925,68,704
2018-0301,Auckland,Hard,32,A,20180108,300,105138,5,,Roberto Bautista Agut,R,183,ESP,29.7,105223,2,,Juan Martin del Potro,R,198,ARG,29.2,6-1 4-6 7-5,3,F,127,7,4,85,55,42,15,15,2,4,9,1,79,49,33,17,14,1,5,21,1855,12,2595
